userID,userName,productID,date_of_order,rating,review,behavior
U082,Robert,P1517,2023-11-02,82,Difficult to set up. Instructions unclear.,Returned
U083,Jasmine,P1051,2024-06-21,83,Stopped working after a month.,Returned
U084,Mark,P1387,2023-10-19,84,Sturdy and reliable. Worth the investment.,Returned
U085,James,P1275,2023-05-04,85,Battery drains quickly. Disappointed.,Returned
U086,Mary,P1106,2023-07-20,86,Fantastic value for money. Very happy.,Returned
U087,Gabriel,P1353,2024-10-31,87,Elegant design and user-friendly.,Returned
U088,Lisa,P1227,2024-02-17,88,Beautiful design. Very stylish.,Returned
U089,Rachel,P1134,2023-11-06,89,Amazing quality for the price point.,Returned
U090,Rebecca,P1355,2023-05-01,90,Unreliable. Stopped working quickly.,Reordered
U091,Gregory,P1354,2024-03-26,91,Customer support was very helpful.,Reordered
U092,Nicholas,P1644,2025-02-08,92,Flawless performance. Highly satisfied.,Returned
U093,Jessica,P1520,2024-08-15,93,Superb customer service. Five stars!,Reordered
U094,Jessica,P1723,2024-07-20,94,The item arrived late and was damaged. Disappointed.,Returned
U095,Michael,P1607,2024-10-20,95,Not the color I ordered. Disappointed.,Returned
U096,Lauren,P1321,2023-11-24,96,Didn't fit as expected. Had to return.,Returned
U097,Kenneth,P1441,2023-04-15,97,Customer service was unresponsive. Frustrating experience.,Reordered
U098,Danielle,P1536,2023-12-23,98,Customer support was very helpful.,Returned
U099,Tammy,P1443,2024-12-09,99,Not as described. Disappointed.,Returned
U100,Kimberly,P1423,2024-04-05,100,Color was slightly off. Still happy.,Returned
U101,Dana,P1979,2025-01-21,101,Didn't fit as expected. Had to return.,Returned
U102,Jeffrey,P1388,2025-01-05,102,Very reliable and easy to maintain.,Reordered
U103,Max,P1694,2024-02-21,103,Very stylish and practical. Love it!,Returned
U104,Jason,P1164,2024-11-28,104,User-friendly and stylish.,Reordered
U105,Larry,P1215,2023-07-27,105,Low-quality material. Won't buy again.,Reordered
U106,Megan,P1087,2024-06-06,106,Loose stitching. Poor quality.,Returned
U107,Cassandra,P1877,2024-12-22,107,Too expensive for the quality offered.,Reordered
U108,David,P1025,2024-01-07,108,Difficult to set up. Instructions unclear.,Returned
U109,Debbie,P1737,2023-12-11,109,Cheap material. Not recommended.,Returned
U110,Sharon,P1932,2023-09-09,110,Excellent craftsmanship. Highly durable.,Reordered
U111,Debra,P1249,2025-02-19,111,Didn't meet my expectations. Will return.,Returned
U112,Christine,P1022,2023-06-05,112,Excellent performance. Very satisfied.,Reordered
U113,Kimberly,P1225,2024-02-25,113,Fantastic customer experience.,Returned
U114,Stacy,P1778,2024-08-05,114,Very stylish and trendy.,Returned
U115,Kenneth,P1749,2024-04-13,115,Fantastic customer experience.,Reordered
U116,Timothy,P1620,2023-07-29,116,Customer service was unresponsive. Frustrating experience.,Returned
U117,Jennifer,P1277,2025-01-27,117,Didn't meet my expectations. Will return.,Returned
U118,Michael,P1984,2023-04-13,118,Compact and easy to store.,Returned
U119,Barbara,P1908,2024-03-24,119,Too expensive for the quality offered.,Reordered
U120,Jaclyn,P1110,2024-10-14,120,Perfect fit and excellent material.,Returned
U121,Sean,P1533,2025-03-10,121,Shipping took forever. Not worth it.,Returned
U122,Angel,P1507,2025-02-11,122,Faulty product. Had to return it.,Reordered
U123,Annette,P1335,2023-08-12,123,Exceeded my expectations. Will buy again.,Reordered
U124,Jesse,P1284,2024-06-02,124,Loved it. Will buy again.,Reordered
U125,April,P1352,2023-04-26,125,Highly portable and lightweight.,Reordered
U126,Lori,P1727,2023-07-26,126,Delivered in perfect condition.,Reordered
U127,Russell,P1523,2024-11-11,127,Poor finish. Looks cheap.,Reordered
U128,Crystal,P1541,2023-10-11,128,Delivered in perfect condition.,Returned
U129,Michael,P1795,2023-12-30,129,Great customer support. Solved my issue quickly.,Reordered
U130,Phillip,P1217,2025-01-15,130,Low-quality material. Won't buy again.,Returned
U131,John,P1101,2023-12-30,131,Smooth and easy to operate.,Reordered
U132,Alfred,P1511,2023-04-28,132,Flimsy and poorly made.,Reordered
U133,Joel,P1237,2023-04-02,133,Terrible experience. Won't recommend.,Returned
U134,Russell,P1819,2024-04-21,134,Not worth the price. Regret purchasing it.,Returned
U135,Elizabeth,P1264,2024-06-18,135,Very comfortable and fits well.,Reordered
U136,Richard,P1900,2024-09-20,136,Very comfortable and fits well.,Returned
U137,John,P1688,2024-05-11,137,Battery drains quickly. Disappointed.,Reordered
U138,Brian,P1632,2024-07-13,138,Exceeded my expectations. Great value.,Returned
U139,Jeffrey,P1037,2025-02-21,139,Decent product for the price. Satisfactory.,Reordered
U140,Cameron,P1594,2024-06-21,140,The color faded after one wash. Disappointed.,Returned
U141,Robert,P1008,2024-03-02,141,Fantastic customer experience.,Reordered
U142,Michael,P1515,2023-06-15,142,Too expensive for the quality offered.,Reordered
U143,Jeremy,P1902,2024-02-26,143,Great sound quality. Very happy.,Returned
U144,William,P1287,2023-09-14,144,Super fast delivery. Very happy.,Returned
U145,Gregory,P1372,2024-07-16,145,Very lightweight and durable.,Reordered
U146,Martha,P1572,2023-08-09,146,The color faded after one wash. Disappointed.,Reordered
U147,Donald,P1160,2024-09-22,147,Not functional as described.,Reordered
U148,David,P1954,2024-08-28,148,Compact and easy to store.,Returned
U149,Tina,P1338,2023-09-17,149,Arrived earlier than expected. Pleasantly surprised.,Returned
U150,Beth,P1084,2024-03-17,150,Not worth the money. Disappointed.,Returned
